logo_width,logo_height,short_description,description,overview,tag_list,country_code,state_code,city,region,first_investment_at,last_investment_at,investment_rounds,invested_companies,first_funding_at,last_funding_at,funding_rounds,funding_total_usd,first_milestone_at,last_milestone_at,milestones,relationships,created_by,created_at,updated_at
,,,,,,,,,unknown,,,,,,,,,1/1/1998,1/1/1998,1,1,timircha,7/9/2011 03:26:37,7/9/2011 03:26:37
,,,App Marketing Site Platform,"Limelight provides a subscription service that allows app developers to creating app marketing sites or app landing pages. Main features include scraping existing descriptions and screenshots from the app store, multiple site templates, various layouts for different devices, send-to-phone links via SMS, varying product shot configurations, analytics, and third-party integrations.","apps, landing-pages, marketing, mobile, ios, iphone, ipad",,,,unknown,,,,,,,,,22/7/2011,14/5/2013,3,,andrewculver,7/9/2011 03:30:51,24/9/2011 13:14:31
209,83,,,"GazoPa is an image search engine by Hitachi that uses features from an image to search for and identify similar images. There are abundant quantities of images on the web, however many of these simply cannot be described by keywords, keywords are not sufficient as conditions for image searches. Since GazoPa uses image features such as a color or a shape to search other similar images, a vast range of images can be retrieved from the web. In addition to images found using keyword searches, GazoPa enables the use of users' own photos and drawings, and images found on the web, as search keys to locate similar images. GazoPa can support not only photo but also the search of video thumbnail. GazoPa lets users find favorite video from similarity of video thumbnail.","techcrunch50, tc50, search, image-search, video-search, visual-search, search-engine",JPN,,"Shinagawa-ku, Tokyo",Shinagawa-ku,,,,,,,,,27/10/2009,27/10/2009,1,1,,25/8/2008 09:31:34,28/6/2013 20:53:12
198,47,,,Balance is an enterprise social software platform to help personal finance professionals collaborate and engage with their clients to more efficiently manage financial tasks.  ,,USA,WA,Bellevue,Seattle,,,,,6/9/2011,6/9/2011,1,1500000,1/1/2010,1/1/2010,1,8,arun,7/9/2011 03:32:58,31/3/2013 06:38:49
518,150,,Marketing Consultants,NewMarCom provides strategic and marketing advise for online businesses. NewMarCom also has several independent business initiatives. NewMarCom's USP is technological knowledge and market intelligence and marketing know-how. This results in a more dynamic approach and creative solutions. ,strategy-marketing-communication-internet-online-netherlands-amsterdam-luc-van-poelje-newmarcom-investment-recruiting-jobboards-seo-sem-marketing,NLD,,Amsterdam,Amsterdam,,,,,,,,,,,,,,25/8/2008 09:48:28,12/5/2009 20:14:24
5000,1859,,TV Shopping on your cell phone,"ShopCastTV (SCTV) brings the TV shopping experience of QVC and HSN to the web via mobile devices like Apple's iPod and iPhone.

Unlike QVC or HSN they do not sell goods themselves but instead partner with 3rd party retailers in order to drive new customers to their vendors via a custom VOD service.

As the first truly interactive TV shopping network on Apple's iTunes their proprietary '1 tap' ordering system is unique in allowing consumers to purchase items at any time during a TV show by simply touching the TV screen.


","ipod, iphone, apple, qvc, hsn",USA,CA,San Francisco,SF Bay,,,,,,,,,,,,,,25/8/2008 09:56:57,8/2/2010 18:36:50
146,31,,,"Wikinvest is just as it sounds; a wiki for investing.  The company seeks to take advantage of the large numbers of investors and investing savvy people who are looking to the web to get better trading tips.  Like most wikis, Wikinvest will face a few problems including spammed/tampered entries, lack of incentive to create content and the dubious authority of users generating content.  These problems exist for Wikipedia as well, yet Wikipedia continues to have as high an accuracy rating as Enyclopedia Britannica while generating millions more pages.  Wikinvest hopes to capture a similar [""prosumer""](http://en.wikipedia.org/wiki/Prosumer) audience for the investing niche.   

Wikinvest is meant to be a research portal where anyone can contribute information on company profiles, investment concepts, or chart analysis. The site is a competitor with financial profiles and news listed on Yahoo and Google Finance, as well as Wikia's investment portal and company profiles on Wikipedia.

Wikinvest faces the stiffest competition from the financial sites themselves, which offer real time news along with their professionally edited content. Wikinvest, however, has a wikis advantage of nimbleness, by quickly adjusting to new trends and interlinking across concepts.

Other competitors involved in p2p investing include, [Vestopia](http://crunchbase.com/company/vestopia), [Stockpickr](http://chttp://www.stockpickr.com/), [People And Picks](http://www.peopleandpicks.com) and [Cake Financial](http://crunchbase.com/company/cakefinancial), a [TechCrunch40 Company](http://www.techcrunch40.com/2007)","portfolio, investments, investing, money, stocks, finance, wikinvest",USA,CA,San Francisco,SF Bay,,,,,1/10/2007,1/10/2007,1,2500000,1/7/2010,1/5/2012,2,7,initial-importer,1/10/2007 13:09:17,14/3/2013 21:58:54
200,90,,Universal Network,"MINDS (MINDS.ORG, INC.) is a Universal Network & Social Broadcasting Source where everyone votes on company evolution and has a featured voice.  We seek to link and stream live every person, business and nation on Earth and beyond online & offline.

Elements

Social-Business Network
Live Interactive Video Broadcasting Client
Video Conferencing, Recording & Streaming
Peer To Peer File Storage & Sharing
Web & Downloadable Apps
Intelligent Internet Search
E-Mail & Video Chat, IM
Events & Tickets
Location (GPS)
Cloud Hosting
Translations
Sharing
Voting
Advertise
Shopping
Mobile
","social-broadcast-network, social-network, social, business-network, live, interactive-video-broadcasting-client, video-conferencing, recording--streaming, peer-to-peer, file-storage, sharing, apps, intelligent-internet-search, e-mail, video-chat, im, even",USA,CT,Wilton,Wilton,,,,,,,,,,,,,minds,7/9/2011 04:04:52,24/9/2011 13:15:06
200,130,,,"RIO Brands LLC, a Conshohocken, PA-based is a leading supplier of a full line of outdoor furniture and other related accessories used for the beach, backyard, patio, parks and other outdoor venues.",,USA,PA,Philadelphia,Philadelphia,,,,,6/9/2011,6/9/2011,1,,,,,,arun,7/9/2011 04:20:31,7/9/2011 04:20:31
319,60,,,"Solectria Renewables, LLC is the leading U.S. based grid-tied PV inverter, string combiner and web-based monitoring manufacturer for residential, commercial and utility-scale solar projects. Our wide range of products includes 1.8kW to 500kW grid-tied inverters for systems 1kW to multi-MWs. Solectria Renewables is backed by over 20 years of power electronics and inverter experience and world class warranties. All of our commercial and utility-scale PV inverters are manufactured in the USA, ARRA compliant, Ontario FIT Content Compliant, and listed to UL 1741/IEEE 1547.",,USA,MA,Lawrence,Boston,,,,,6/9/2011,6/9/2011,1,2100000,,,,2,arun,7/9/2011 04:42:22,21/3/2012 03:44:15
305,99,,Book and Magazine in India,Pustak.co.in is an online bookstore in India that carries a title-base of over 12 million. Exclusive tie-ups with multiple vendors in the US and UK allow it to offer free International Shipping into India.,"books, magazines, subscriptions, bookstore, online, india",IND,,Bangalore,Bangalore,,,,,,,,,,,,2,,25/8/2008 11:06:00,22/12/2010 16:46:19
430,604,,,"Published by IT Evolution, IT EYE Magazine is a monthly magazine specialized in Information and Communication Technology (ICT) and serving Egypt's ICT community.

For over two years, IT EYE has had its finger on the pulse of the ICT industry and has become an integral part of the fabric of the Egyptian ICT community. 

With a readership of over 7,000, IT EYE magazine is delivered to the top IT companies, fast growing SMEs, as well as leading multinationals and companies in other sectors.","magazine, it-sector, egypt, advertising, marketing-plan",EGY,,Cairo,Cairo,,,,,,,,,,,,1,,25/8/2008 14:21:55,28/6/2013 20:53:24
284,74,,,"G2 Web Services, LLC is the recognized leader in merchant compliance monitoring and e-commerce risk management. G2 works globally with acquiring banks, independent sales organizations (ISOs), payment service providers (PSPs) and other acquiring value chain members to identify, mitigate and monitor risk posed by their merchants�?online presences.

By monitoring millions of merchant websites worldwide and collecting billions of data artifacts, G2 Web Services has built the industry’s largest e-commerce relationship map that provides a comprehensive and global view of e-commerce across the entire industry. From analyzing the risk involved with boarding a new merchant, to the regular review of website content for compliance violations, to third-party and account data compromise (ADC) risk mitigation, G2 provides a comprehensive set of tools and services to effectively manage acquiring organizations�?risk throughout the merchant lifecycle.

G2 Web Services continues to be run by its three original founders and talented management team. G2 is headquartered in Bellevue, WA, USA.  The partnership with Primus represents the company’s first external investment. ",,USA,WA,Bellevue,Seattle,,,,,6/9/2011,6/9/2011,1,,1/1/2012,1/1/2012,1,9,arun,7/9/2011 05:31:42,7/4/2013 02:32:26
295,62,,Content & Services Marketplace,"OOOOOC.com Marketplace is ""A New eBay for Contents and Services""

OOOOOC.com Marketplace has moved to public beta. Helps its members sell any digital contents, such as files, secrets, tips, texts, documents, photos, audio, videos, urls, art, consultation sessions and services, treatments, ideas, legal forms, software, codes and songs.

oooooc.com, an Israeli-developed website, provides a marketplace for contents and services. The site offers a user-friendly, intuitive platform, with simple means to trade, affiliate and ask for digital goods, as well as interact with colleagues.

OOOOOC.com offers a solution for experts and authors around the globe, to promote themselves as paid professionals on any topic. By opening a free account, one can get a designed branded online shop, with virtual products, within a short time after registration.

The service enables users to ask for information or assistance from professionals and experts, or put their digital content into paid URLs (or ""lockers""), add a price-tag and offer it to the public as digital products. It allows one to share and embed widgets on other websites, thus bring thousands of customers, as well as to promote within the marketplace. A locker can then be accessed by whomever the URLs are shared with, after payment or watching ads.

""We believe in our vision to offer a new kind of eBay, for people who must sell contents and services,"" says founder Dr. Nadav Dafni.

Yossi Shalom, co-founder, admits ""With these easy means to monetize your know-how and expertise, new professionals and artists will invest more time and efforts on the Net.""

The website targeted for owners of online files on storage services such as divshare.com and box.net, for experts, artists, information technologists, business owners, creators, bloggers and Gurus.

On the public beta period, oooooc.com will use virtual money.

oooooc.com is a self-funded venture by a group of IT professionals who believe in giving new platforms for e-commerce. It is aimed at fulfilling the need of surfers to get help and information, and allowing experts to sell their expertise free of cost.

Media Contacts:
Dr. Nadav Dafni
OOOOOC.com
Tel. 972.50.20.22.101
nadav @ oooooc.com

Background Information - About the Team:
===============================
Dr. Nadav Dafni, also developed ""Stips"", Israel's number 1 experts website, the Hypeshow.com - video search engine and the Ckuik.com - video aggregator, musixcool.com and other Israeli web services and applications.

Yossi Shalom, is also CTO on ""Hook"", an Israeli social network.","ecommerce, e-commerce, marketplace, sell-online, trade, work-from-home, online-marketplace, guilds, shop, shops, build-your-shop, user-friendly-ui, ebay, ebay-like",ISR,,Tel Aviv,Tel Aviv,,,,,,,,,,,,2,,25/8/2008 14:32:56,3/4/2009 18:13:58
183,26,,,"TIOTI.com (Tape it Off The Internet) provides links to a online TV services such as Apple, Amazon, AOL and Joost, amongst others, indexing over 75,000 TV shows and more than 500,000 episodes. You can't download the shows from Tioti - it just points to the relevant sources. Thus it is attempting to avoid the legal problems which have dogged other 'download' sites. TIOTI wraps all these feeds in social tools, allowing users to recommend shows to friends, to discuss and see what their friends are watching. Think Facebook meets TV on-demand.","iptv, tvaggregator, aggregation, tvguide",USA,WA,Seattle,Seattle,,,,,,,,,24/4/2008,17/9/2013,3,2,initial-importer,1/10/2007 15:34:35,31/1/2009 15:36:00
203,61,,,"We were founded in 1983 by Karen & Andy Beaupre who are both still active in the business, every day of the week.    

Our first 15 years were phenomenally exciting. We were focused on delivering strategic endgame results for a wide variety of technology companies. This included dozens of startups as well as bigger tech brands like Sun Microsystems, Cognos, Ingram Micro, Legent, Oracle, PictureTel and Lucent.

From 1992 through 1998, Beaupre was spotlighted annually as one of the top high tech PR agencies in America. In 1999, Beaupre was acquired by Brodeur and Omnicom Group (NYSE: OMC), the most successful communications holding company in the world. This $10.5 billion corporation embraces a very selective M&A model and consistently leads the marketing business in every financial and operational measure.  Brodeur and Omnicom have made Beaupre a better company by broadening our relationships, services, knowledge and capabilities around the globe.

Here's the amazing part. Since being acquired, we've retained our entire management team, our brand, culture and our founding business model. We're proud of the fact that Beaupre people average nine years employment with our company; many have been with us much longer. We're equally proud of the success our clients have achieved, including more than 30 Beaupre clients acquired in major M&A deals exceeding $12 billion.

We exist to get our clients where they need to go. That's our story.
","clean-tech, clean-technology, public-relations, publicrelations, pr, high-tech-pr, technology, technology-pr",USA,NH,Portsmouth,Portsmouth,,,,,,,,,,,,1,,25/8/2008 14:37:31,31/10/2008 21:10:13
639,68,,Online Education Portal,"StudentTeacherExchange.com is a forum based website where students and (home)teachers from any and all languages/countries can meet. 

Teachers can present themselves for acceptation of students for online language learning for free. Online tools are provided for both parties.","e-learning, language, teacher, student, english, online",,,,unknown,,,,,,,,,,,,,,25/8/2008 14:57:13,12/5/2009 20:15:28
860,574,,,"Me-trics allows users to collect, analyze, and share data generated from their everyday activities, or by answering questions they create.","techcrunch50, tc50, data, health, finance, personal, tracking, productivity",USA,MI,Royal Oak,Detroit,,,,,,,,,9/9/2008,9/9/2008,1,3,,25/8/2008 15:34:43,13/9/2008 13:55:00
800,184,,,OMS SafeHarbor provides software and services to enable the electronic delivery of software and software licenses.,"software-distribution, electronic-software-delivery, esd, license-management, software-downloads, export-compliance",USA,MA,Lowell,Boston,,,,,,,,,,,,3,,25/8/2008 16:00:35,6/9/2008 14:19:40
180,180,,Amantel.com - Cheap international callls,"Amantel.com is a young, dynamic and growing company; aiming to reshape the way phone cards and calling cards delivered to customers. It was established in 2002 with the goal of developing secure and efficient business models that would allow customers to get the best communication services available on the internet without spending significant amount of time searching for alternative products and to make purchases instantly and securely. It is managed by a team of highly qualified and experienced executives in processing of retail marketing, payments, networking telecommunications as well as switch facilities. Amantel provides premium quality pre-paid phone cards with best international and domestic rates online 24 hours a day 7 days a week. 


Amantel prepaid phone cards to call long distance calling from USA, Canada and Australia. Low cost international cell phone calling cards to call India,  Pakistan,  Sri Lanka,  Bangladesh and Nepal call from your home phone, your cell phone or any other phone.

Lowest and cheapest price international calling cards to call India, Pakistan, Sri Lanka, Bangladesh, Nepal, Nigeria, Kenya, Liberia, Senegal, Uganda, Ethiopia, Cameroon, Ghana, Guyana, Iran, Russia, Egyp and Afghanistan from USA and Canada.","amantel, prepaid, phone, calling, cards, international, long-distance, call, india, pakistan",USA,NJ,Iselin,Iselin,,,,,,,,,1/1/2002,1/8/2012,2,1,amantel,7/9/2011 06:37:58,13/10/2012 21:31:51
592,208,,UK Live Music Search,"GigJunkie is an website dedicated to gigs and the promotion of live music.

The two main aims of the site are:

* Creating definitive and independent gig listings
* Building a network of live music fans sharing their gig experiences

Definitive gig listings are achieved by pulling concert listings from all available sources in to one listing on GigJunkie. Through our own technology, and where necessary manual data entry, data is gathered from ticket agents (See, Ticketmaster, TicketWeb etc.), promoters (Live Nation, SJM, Metropolis etc.), major labels (EMI, Universal, Sony etc.) and other sources (local listings, MySpace, Facebook etc.). GigJunkie also lets users (fans/bands/promoters/venues) add gigs to the listings to promote them for free. This enables the live music fan to stay up to date on what's on.

The networking side of GigJunkie helps users build a profile of the bands they love and venues they often go to. GigJunkie can then automatically alert them by email and SMS as gigs are added so they don't miss out on anything. Users can buy tickets through GigJunkie at the same price as going direct to existing agents but without the hassle of searching all the different listing sites. Users can connect with fellow GigJunkies, invite each other to gigs, keep a diary of gigs they go to, post photos, write reviews and rate bands/venues etc. GigJunkie also gives users the chance to win loads of gig and festival tickets. GigJunkie's development is ongoing and there is lots more features coming to engage and entertain the users.

GigJunkie is target marketed to avid live music fans through street work and sponsorship presence at gigs and festivals, online activity and CPC advertising across a range of sites such as Google, MySpace, and Facebook etc. and affiliate marketing with carefully selected complimentary partners.","gig-tickets, buy-gig-tickets, gig-photos, gig-reviews, live-music-social-network, live-music-web2-0-website, gig-listings, live-music",GBR,,London,London,,,,,,,,,,,,3,,25/8/2008 16:00:48,28/6/2013 20:53:58
144,19,,,"INNCOM develops and markets integrated room automation systems to the global lodging industry. INNCOM is the acknowledged worldwide leader in this rapidly growing market. Since 1986, our systems have been installed in more than 500,000 hotel rooms. High-profile sites include St. Regis in New York, Grand Hotel Wien in Vienna, Raffles L'Ermitage in Beverly Hills, Caesars Palace in Las Vegas, Gaylord Opryland in Nashville, Alvear Palace in Buenos Aires, Maksoud Plaza in Sao Paulo, ?iragan Palace in Istanbul, Atlantis Paradise Island in the Bahamas and the Taj Palace in New Delhi. Historically, sales represent a strong blend of domestic and international business.

Markets: INNCOM's core business is guestroom control systems for the global lodging market. The Company's technology can be directly applied in several related markets, including universities, military housing facilities, and health care facilities.

Product & Technology: INNCOM develops and markets a broad range of intelligent devices. These are combined in various ways to provide integrated room automation systems for DDC energy management, guestroom status, on-line electronic lock control, guest (end-user) interfaces, and operating enhancements for housekeeping, security, minibar restocking and other hotel staff groups. INNCOM systems provide highly effective remote control of virtually every electric appliance found in hotel rooms, including lights, HVAC, TV, telephones, and drapes. ",,USA,CT,Niantic,Niantic,,,,,,,,,,,,1,,25/8/2008 16:30:25,28/6/2013 20:59:06
193,130,,,"Glacier Computer, an industrial computer distributor and designer of industrial PC computer systems for environments that require durability and ease of use.

Industrial Computers
Rugged Laptops
Forklift Computers
Tablet Computers
Rugged Tablet Computers
Handheld Computers ? Rugged Handhelds
Public Safety Computers ? Fire, Ambulance, and Police Car Computers
Industrial Computer Accessories",,USA,NH,Amherst,Amherst,,,,,,,,,,,,,,25/8/2008 16:45:40,28/6/2013 20:59:15
226,74,,,"Datapro Services International Co, Ltd based in Bangkok, Thailand manage several online properties including FeedZa, Juice Mag and a web development center.","rss, bangkok, thailand, magazine",THA,,Bangkok,Bangkok,,,,,,,,,,,,1,,25/8/2008 17:27:55,10/9/2008 01:18:13
650,165,,Mobile advertising solutions,"Jumptap is a mobile ad network and the leader in targeted mobile advertising. 

Reaching 107 million mobile users in the U.S. and 156 million mobile users worldwide, Jumptap uses its extensive technology portfolio, as well as industry-first partnerships with third-party data providers, to understand mobile audiences better than any other ad network and provide intelligent targeting with scale. 

Through its large network of premium publishers and apps, and constant campaign optimization, Jumptap delivers the best ROI for advertisers and highest yield for publishers and developers. Jumptap has pioneered mobile advertising privacy standards and is committed to unlocking mobile opportunities for all parties through its ongoing industry research, such as its Understanding Mobile Audience series and monthly MobileSTAT reports. ","mobile-advertising, mobile-search, mobile-targeting, data, mobile-audience",USA,MA,Boston,Boston,,,,,1/3/2005,2/7/2012,7,121500000,19/1/2012,13/8/2013,3,45,cameronc,25/8/2008 17:51:52,13/3/2013 02:40:44
134,31,,Fantasy Stock Market,"exchangeP is a fantasy stock market for betting on the future success (or failure) of private companies.  Registration is free and monthly cash prizes are awarded to the top traders.  

exchangeP uses the wisdom of crowds to provide real-time consensus valuations of the hottest, most debated, private companies.  How much is that company really worth?  Let the market decide.","techcrunch50, tc50, wisdom-of-the-crowds, fantasy, stock-market",,,,unknown,,,,,,,,,9/9/2008,9/9/2008,1,2,,25/8/2008 17:54:13,2/4/2009 15:34:04
,,,Reviews for consumer electronic,"Testbericht.de is one of the biggest review website in Germany, located in Wiesbaden. You will find more the 70.000 reviews and more than 300.000 opinions from User.","reviews, test, testbericht, testberichte, opinion",,,,unknown,,,,,,,,,,,,,dersimli,7/9/2011 08:12:38,24/9/2011 13:17:37
200,100,,Application Developer,,,USA,AZ,Chandler,Phoenix,,,,,,,,,,,,,gene,25/8/2008 18:16:59,2/4/2009 15:34:40
,,,,,,,,,unknown,,,,,,,,,,,,,timircha,7/9/2011 08:31:20,7/9/2011 08:31:20
204,67,,,"Shooting People is a online community of 37,000+ filmmakers who share their resources, skills and experience. 

A catalyst for change, growth and innovation, Shooting People helps its members get their films funded, made and seen.

Members post to and receive up to eight daily email bulletins, which cover all aspects of filmmaking; add their events and screenings to the Indie Film calendars; and network with other members at parties, salons and screenings in London, New York and beyond; create dynamic, online searchable profile cards; and upload their films and reels to the site.","film, documentary, social-network",GBR,,London,London,,,,,,,,,,,,4,,25/8/2008 18:24:58,13/12/2008 15:45:26
216,67,,,"The Youlicit web content recommendation engine leverages the wisdom of the crowds to return the most recommended sites related to a website or topic. To use Youlicit, simply install a plug-in with the Youlicit buttons on your Firefox browser. These buttons light up, while you surf, and by clicking on them, you instantly get highly relevant recommendations, without searching. It also allows you to discover the web via personalized recommendations based on your interests and find other users interested in the same topics as you.",,USA,NY,,New York - Other,,,,,1/1/2008,1/1/2008,1,,,,,5,initial-importer,2/10/2007 09:45:00,19/10/2013 10:39:54
,,,,,,,,,unknown,,,,,,,,,,,,1,,25/8/2008 18:26:25,15/7/2013 19:51:05
460,460,,Meetup meets Nike+ for soccer,"Jogabo is a location aware soccer platform that allows users to organize games, share their plans and discover opportunities to play in their area. Their aim is to make amateur soccer ""bonito"" by connecting soccer enthusiasts, facilitating the organization of games and adding a layer of fun and competitiveness to the beautiful game.","football, soccer, social-media",USA,CA,San Francisco,SF Bay,,,,,4/11/2011,4/11/2011,1,40000,1/12/2012,1/12/2012,1,5,mehdidjabri,7/9/2011 08:58:48,27/12/2012 02:16:33
775,111,,,"Workstir connects consumers seeking local service providers to contractors, freelancers and other local resources through searchable service requests that make it easy for these providers to discover potential new business.",,USA,CA,Oakland,SF Bay,,,,,1/6/2009,1/6/2009,1,,12/11/2008,1/4/2009,2,4,,25/8/2008 18:26:25,16/10/2013 09:57:06
500,324,,Web Design,"About Us
Dotcomweavers is a New Jersey/New York based web design and development company specializing in custom websites, eCommerce, web application development, content management systems and search engine optimization. 

Our Vision
At Dotcomweavers, our experience is your advantage. Each member of our team holds strong to the unique vision of providing the highest quality web solutions, exceeding the goals and expectations of our clients. Here, we pride ourselves in being able to connect with your business ideas, turning the vision you have into a reality: a high quality website that shines above your competitors. Dotcomweavers is always actively researching new trends and cutting edge technology. Constantly enhancing our services allows us to be able to bring your online business to the forefront in the midst of the continuously evolving Internet.

Company History
Our humble beginnings prove that we share a similar story with you and many of our clients. We began with three individuals with just an idea which was to offer web design and development services in a unique way that would be effective and efficient. The idea was not only to benefit ourselves but offer our talent, skills and knowledge to entrepreneurs, business owners and others with a great business vision who need their ideas transformed into a website. Our growth in the past years illustrates the level of dedication and commitment we have given our clients. Today we are a highly dedicated team of 22+ individuals who are handpicked, highly skilled web services experts. We are a full-fledged development organization and are proud to deliver effective and efficient web solutions at affordable prices.

Our Team
At Dotcomweavers Inc., we know that our success as a whole is deeply rooted in the strength of our entire team. We have gone to great lengths to ensure that our remarkable team is comprised of highly skilled professionals. Each and every one are experts in their own right. Our skills and experience have focused on, but are certainly not limited to: PHP, MySQL, Web 2.0, AJAX. Our knowledge and expertise constantly expand through every new project we create and our own research efforts to take our team to a level above the rest. It takes more than just plain programming knowledge to stand out from the competition. We credit our success to the remarkable team of incredibly intelligent and driven experts in our company.

Our Customers
Many thriving corporations and large businesses have their set methods of Online Marketing and E-commerce. For this reason, Dotcomweavers focuses on offering web solutions mostly to small and medium businesses as well as startups. Today most small businesses and entrepreneurs are still not exactly sure how Internet tools and this medium are supposed to be incorporated into their business and marketing models to maximize returns. Dotcomweavers works to empower small businesses with the web solutions they need to create efficient methods for improving performance and boosting business. As for entrepreneurs, it is always a challenge to start up a new business. Our solid experience in providing web solutions to entrepreneurs gives us the advantage of understanding what is needed to be done to launch or improve your online business. Our goal has been to help our clients lower their marketing costs and increase returns. Unlike other web development firms, we take the time to thoroughly explain how our solutions will benefit your business. Ultimately, we aim to have a solid relationship with you that will give your business the opportunity to utilize our cutting edge internet technology and services.

Our Location
We are easily accessible and always available. You can find us online or in Paramus, NJ (just 20 minutes from New York City). This spot is highly convenient for most of our customers, who are from New Jersey and New York.","web-design-ny, web-development-ny, ecommerce, internet-marketing",USA,NJ,Paramus,New York,,,,,,,,,1/5/2013,1/5/2013,1,,,7/9/2011 09:25:01,24/4/2013 04:35:57
,,,Identity and Access Management Software,"Courion Corporation is the leader in identity and access management (IAM) solutions that effectively and securely manage user access risk. More than 14 million users in 500 organizations worldwide rely on Courion's access risk management solutions to align user access privileges with corporate and regulatory governance policies.
 
Courion solutions enable organizations to quickly identify, quantify and manage access risks to vital information such as intellectual property, medical records, personally identifiable information and customer data, while demonstrating compliance with regulatory requirements. Courion's cloud and on-premise solutions offer full arrays of IAM functions such as: identity and access governance, user provisioning and password management, in affordable packages that deliver faster time to value than other industry solutions.",,USA,MA,Westborough,Boston,,,,,1/3/2011,10/4/2012,2,840000,,,,19,,25/8/2008 18:38:04,28/6/2013 20:59:31
1421,201,,E-commerce advertising markets,"Sausalito, CA

Adgregate Markets is the leading provider of secure advertising and social commerce solutions. ShopFans turns social shopping on Facebook from conversations into conversions and is the only secure social commerce solutions in the market. More IR Top 500 companies and big brands use ShopFans than any other Facebook commerce provider. ShopAds guide prospective customers from the point of discovery to the point of purchase entirely within innovative online and mobile ads. Adgregate is a privately held company based in the San Francisco Bay Area and is venture-backed by leading investors. Adgregate has received numerous industry awards for its innovative advertising technology, including ad:tech's White Hot Company, Techcrunch50 Finalist, and AlwaysOn OnMedia 100 Winner, recognizing the top private companies in digital media and advertising.","techcrunch50, tc50, widget, online-advertising, transaction",USA,CA,Sausalito,SF Bay,,,,,,,,,1/6/2009,18/11/2013,3,5,,25/8/2008 18:39:35,28/6/2013 20:59:47
,,,,,,,,,unknown,,,,,,,,,,,,1,,25/8/2008 18:42:12,25/8/2008 23:29:34
640,219,,Mobile Social Gaming,"PlayPhone provides social gaming solutions to the world's leading wireless carriers, aggregating a global gaming community and offering game developers quick access to millions of gamers, seamless monetization and powerful marketing opportunities.

Game developers can use the FREE SDK to give games access to worldwide distribution through traditional, indie and carrier app stores, instant player matching, social gaming hooks and social network integration, virtual economy management tools, real-time analytics and the most advanced payment solutions available including one-click carrier billing. Integration takes just a few hours. 

Headquartered in San Francisco, PlayPhone has a presence in more than 25 countries throughout North America, Europe, Asia, and Latin America. The FREE SDK is available at developer.playphone.com",mobile-web-site,USA,CA,San Francisco,SF Bay,,,,,28/8/2006,1/1/2012,3,95097200,12/11/2009,1/1/2013,3,28,,25/8/2008 18:50:43,28/6/2013 21:00:26
136,41,,Gaming Social Network,"Rupture was an online destination connecting gamers and allowing them to share gaming experiences, events, challenges, and achievements. The site was founded by Shawn Fanning and investor Ron Conway. After working together with the original Napster and then with music distributor [Snocap](http://crunchbase.com/company/snocap), the two began work on Rupture, a social network for MMORPGs; primarily for World of WarCraft (WOW) gamers.

The company was based in San Francisco, California. Parent company ThreeSF, Inc., was acquired by [Electronic Arts](/company/electronic-arts) on May 28, 2008.","wow, worldofwarcraft, socialnetwork, napster, snocap",USA,CA,San Francisco,SF Bay,,,,,1/7/2007,1/7/2007,1,3000000,1/9/2007,25/8/2012,2,6,initial-importer,2/10/2007 12:14:24,24/6/2013 20:23:54
264,87,,,"Cactus Commerce delivers digital commerce and marketing solutions that create engaging and interactive brand experiences. Cactus leverages its CommerceLive solution to enable content, community and commerce across channels. Since 1995 Cactus has delivered B2C and B2B commerce solutions to customers in the retail, consumer goods, media & entertainment, and manufacturing industries. Clients include GameStop, Church & Dwight, Sam's Club, PowerBar and many more. ",,CAN,,"Gatineau, QC",Gatineau,,,,,,,,,,,,,timircha,7/9/2011 10:31:48,7/9/2011 10:44:30
640,274,,,"Formed in October 2007, Dada Entertainment is launching the next generation of ubiquitous personalization and entertainment services. The only company offering both ringtones and DRM-free full-length MP3s for mobile and PC paid via the mobile phone, Dada Entertainment is a growing leader in the U.S. market. 

About Dada

Dada Entertainment is the subsidiary for Dada S.p.A. in the US
Dada is an international leader in Community and Entertainment services via web and mobile, as well as in Domain, Hosting and advanced online Advertising solutions.

Listed on the MTA market in the STAR (DA.MI) segment of the Italian Stock Exchange has among its shareholders the RCS MediaGroup, with approximately 49.5% of the share capital.
More than 600 highly skilled professional currently work in Dada among its offices in Florence, Milan, Bergamo, New York, Barcelona, Paris, London, Worcester, Rio Janeiro.

Today, Dada is divided into 2 business areas: Dada.net (www.dada.net, community & entertainment services focused on music) and Dada.pro (www.dada.pro, professional services and advertising on the Internet).
On June 24, 2009, furthering the development of a more extensive partnership, Dada and Sony Music signed a strategic agreement including the acquisition by Sony Music of a 13% stake in Dada.net against the conferment of its holding in the Joint Venture Dada Entertainment.","music, mobile, web-2-0, community, sharing, video, gaming",USA,NY,New York,New York,27/9/2012,27/9/2012,1,1,,,,,1/12/2008,1/3/2010,2,10,,25/8/2008 18:50:44,13/11/2009 19:39:36
